gloss,age,role,Vqilai,qilai_shenme
他们 三 个 就 用 斗篷 起来 抱 走 了,48,child,篷, 抱 走 了
他 他 要 他 就 把 那个 奇怪 的 喇叭 拉 了 起来,48,child,拉,NA
他 就 拿 着 激光 枪 对 着 两 匹 马 射 了 几 个 弹 然后 他们 就 头 抬 起来 了,48,child,抬, 了
中午 为了 珠宝 的 事情 人家 丢弃 的 小孩 不 快乐 的 快乐 的 不 快乐 的 小孩 和 没 人 要 的 小孩 都 开始 找 了 起来,48,child,找,NA
所在 三 个 强盗 温暖 的 斗篷 把 她 抱 起来 带 走 了,48,child,抱, 带 走 了
都 开始 找 了 起来,48,adult,找,NA
所以 这 三 个 强盗 就 用 暖和 的 暖和 的 斗篷 把 她 抱 起来,48,child,抱,NA
他们 把 所有 去 走 的 小 小孩 不 快乐 的 小孩 和 没 人 要 的 小孩 找 过过 找 起来,48,child,找,NA
二 和 的 豆 什么 的 把 她 包 起来 走 了,48,child,包, 走 了
所以 这 三 个 强盗 就 用 暖和 的 暖和 的 斗篷 把 她 抱 起来,48,child,抱,NA
从前 有 三 个 黑 突 突 的 人 他们 看 起来,72,child,看,NA
起来 了 孩子 们 的 房子 城市 越 多 城市,48,child,NA, 了 孩子 们 的 房子 城市 越 多 城市
所以 三 个 强盗 就 用 暖 的 斗篷 把 她 抱 起来 带 走 了,72,child,抱, 带 走 了
然后 这 三 个 鬼 一 起来 了 马 车 马 车 里 的 人 还有 马,72,child,一, 了 马 车 马 车 里 的 人 还有 马
于是 为了 要 用 这些 财 宝 他们 就 把 不 快乐 的 小孩 没 人 要 的 小孩 全 都 抢 了 起来,72,child,抢,NA
于是 为了 用 这些 财 宝 就 把 所有 所有 走 丢 了 的 小孩 不 快乐 的 小孩 没 人 要 的 小孩 统统 找 了 起来,72,child,找,NA
人 都 被 抓 起来 了,72,child,抓, 了
嗯 后来 早 起来 别 人们 都 被 他们 遭 到 袭击 把 抓 到 车 上 了,72,child,早, 早 起来 别 人们 都 被 他们 遭 到 袭击 把 抓 到 车 上 了
好 啊 睡 了 一 晚上 觉 她 起来 偷偷 地 起来 了,72,child,她, 偷偷 地 起来 了
他们 起来 都 看 以为 这 是 他们 家 不 是 的,72,child,们, 都 看 以为 这 是 他们 家 不 是 的
你 觉得 看 起来 像 什么,72,adult,看, 像 什么
跑 着 跑 着 这里 有 个 树 把 他们 所有 的 马车 都 弄 起来 了,72,child,弄, 了
吹 喇叭 然后 把 马 都 给 跳 起来 了,72,child,跳, 了
你 看 它 眼睛 都 闭 起来 了,14,adult,闭, 了
把 盖子 盖 起来,14,adult,盖,NA
要 不 要 捡 起来 啊,14,adult,捡, 啊
捡 起来 啊,14,adult,捡, 啊
啊 要 站 起来,14,adult,站,NA
开开 来 关 起来,14,adult,关, 关 起来
宝宝 自己 去 把 它 捡 起来,14,adult,捡,NA
哦 装 起来,14,adult,装,NA
捡 起来,14,adult,捡,NA
站 起来 玩,14,adult,站, 玩
去 捡 起来,14,adult,捡,NA
捡 起来,14,adult,捡,NA
捡 起来 妈妈 才 抱,14,adult,捡, 妈妈 才 抱
收 起来,14,adult,收,NA
那 你 抱 好 狗熊 站 起来,14,adult,站,NA
盖 起来,14,adult,盖,NA
装 起来,14,adult,装,NA
妈妈 把 轮子 装 起来,14,adult,装,NA
把 轮子 装 起来,14,adult,装,NA
把 盖子 关 起来,14,adult,关,NA
把 盒子 关 起来,14,adult,关,NA
哟 拎 起来 了,14,adult,拎, 了
我们 把 笔 收 起来,14,adult,收,NA
两 只 耳朵 竖 起来,14,adult,竖,NA
把 纸 捡 起来,14,adult,捡,NA
把 笔 套 起来,14,adult,套,NA
把 纸 捡 起来,14,adult,捡,NA
把 这 个 放 起来,14,adult,放,NA
关 起来,14,adult,关,NA
它 站 起来 了,14,adult,站, 了
来 把 它 关 起来,20,adult,关, 把 它 关 起来
然后 把 它 关 起来,20,adult,关,NA
看 这边 翘 起来 了,20,adult,翘, 了
把 这些 收 起来,20,adult,收,NA
噢 把 盒子 关 起来 了,14,adult,关, 了
掉 地 上 的 收 起来,20,adult,收,NA
捡 起来 呀,20,adult,捡, 呀
薇薇 把 它 捡 起来,20,adult,捡,NA
捡 起来 呀,20,adult,捡, 呀
捡 起来 呀,20,adult,捡, 呀
把 书 捡 起来,14,adult,捡,NA
你 站 起来,20,adult,站,NA
这 个 插 起来,20,adult,插,NA
快 捡 起来,20,adult,捡,NA
快 起来 吧,21,adult,快, 吧
你 站 起来,20,adult,站,NA
起来,20,adult,NA,NA
袁捷 捡 起来,20,adult,捡,NA
捡 起来,20,adult,捡,NA
捡 起来 捡 起来,21,adult,捡, 捡 起来
快 捡 起来,21,adult,捡,NA
捡 起来 放 进 去,20,adult,捡, 放 进 去
捡 起来,21,adult,捡,NA
盖 起来,20,adult,盖,NA
你 会 捡 起来 吧,20,adult,捡, 吧
捡 起来,20,adult,捡,NA
把 书 摆 进 去 盖 起来,21,adult,盖,NA
把 锅 先 盖 起来 啦,21,adult,盖, 啦
把 它 盖 起来,20,adult,盖,NA
捡 起来,20,adult,捡,NA
把 它 拿 起来,21,adult,拿,NA
捡 起来 摆 好,20,adult,捡, 摆 好
装 起来,20,adult,装,NA
站 起来,20,adult,站,NA
你 把 地 上 的 树 捡 起来,21,adult,捡,NA
站 起来,20,adult,站,NA
可以 把 它们 收 起来 了,14,adult,收, 了
关 起来,14,adult,关,NA
这边 再 用力 插 起来,25,adult,插,NA
把 盒子 关 起来,14,adult,关,NA
你 把 它 连 起来 好不好,20,adult,连, 好不好
放 起来,21,adult,放,NA
你 起来,25,adult,你,NA
都 收 起来,21,adult,收,NA
把 这 俩 个 点 连 起来,20,adult,连,NA
来 连 起来,20,adult,连, 连 起来
把 这 个 像 妈妈 这样 拼 起来,26,adult,拼,NA
我们 把 这些 收 起来,21,adult,收,NA
两 个 是 连 起来,20,adult,连,NA
可以 拼 起来 吧,26,adult,拼, 吧
再 拿 一 块 拼 起来,26,adult,拼,NA
壮壮 把 一样 一样 东西 收 起来,21,adult,收,NA
连 起来,20,adult,连,NA
搭 起来 房子 吧,25,adult,搭, 房子 吧
捡 起来,21,adult,捡,NA
你 看看 它 能 不 能 发动 起来,26,adult,动,NA
睡觉 把 盒子 关 起来 好吗,20,adult,关, 好吗
我们 来 关 起来,20,adult,关, 关 起来
赶快 捡 起来,20,adult,捡,NA
拼 起来,25,adult,拼,NA
捡 起来 给 妈妈 啦,20,adult,捡, 给 妈妈 啦
这样 卷 起来,20,adult,卷,NA
你 先 卷 起来,20,adult,卷,NA
这 搭 不 起来 了 吧,26,adult,搭, 了 吧
坦克 你 也 想 不 起来 了,25,adult,想, 了
站 起来,20,adult,站,NA
这么 懒 呀 站 起来,20,adult,站,NA
你 插 起来 好 不 好,25,adult,插, 好 不 好
插 起来,25,child,插,NA
你 想 办法 把 它 也 搭 起来 好不好 呀,25,adult,搭, 好不好 呀
给 它 串 起来,20,adult,串,NA
你 看 怎么 把 两 个 连 起来,25,adult,连,NA
你 想 办法 把 它 搭 起来,25,adult,搭,NA
怎么 把 它们 接 起来,25,adult,接,NA
把 球 捡 起来,20,adult,捡,NA
这样子 连 起来 吧,25,adult,连, 吧
捡 起来,20,adult,捡,NA
你 想 办法 把 它 搭 起来 好不好,25,adult,搭, 好不好
球 收 起来,20,adult,收,NA
笔笔 妈妈 收 起来 了,20,adult,收, 了
你 把 它 拼 起来,25,adult,拼,NA
站 起来,21,adult,站,NA
收 起来,20,adult,收,NA
收 起来,20,adult,收,NA
牛牛 把 右 手 举 起来,14,adult,举,NA
把 它 搭 起来,25,adult,搭,NA
捡 起来,25,adult,捡,NA
两 只 耳朵 竖 起来,20,adult,竖,NA
我们 再 把 这 个 火车 连 起来 吧,25,adult,连, 吧
坐 起来,14,adult,坐,NA
冬冬 你 想 办法 把 车子 连 起来,25,adult,连,NA
先 把 这 两 个 插 起来 吧,25,adult,插, 吧
先 把 这 个 插 起来,25,adult,插,NA
我 把 这些 玩具 放 到 塑料 袋 包 起来,20,adult,包,NA
把 这 个 插 起来 好 不 好,25,adult,插, 好 不 好
把 这 个 红 的 插 起来,25,adult,插,NA
这些 玩具 都 收 起来 了 啊,20,adult,收, 了 啊
收 起来 啦,25,adult,收, 啦
这些 玩具 都 收 起来 了 啊,20,adult,收, 了 啊
把 地 上面 的 那 个 捡 起来,20,adult,捡,NA
把 这 个 笔 捡 起来,20,adult,捡,NA
把 这些 收 起来,25,adult,收,NA
把 这些 都 收 起来,25,adult,收,NA
那 收 起来 吧,20,adult,收, 吧
你 先 把 地 上 的 东西 捡 起来 再 玩,20,adult,捡, 再 玩
盖 起来 再 换 一 个,20,adult,盖, 再 换 一 个
你 把 这 笔帽 放 起来,21,adult,放,NA
够 不 着 站 起来 啊,25,adult,站, 啊
笔帽 套 起来,21,adult,套,NA
嗯 套 起来,21,adult,套,NA
把 它 拎 起来,25,adult,拎,NA
先 收 好 放 起来 好 不 好,25,adult,放, 好 不 好
你 再 放 起来,25,adult,放,NA
这 是 吸 起来,21,adult,吸,NA
你 把 这 两 个 拼 起来,26,adult,拼,NA
躲 起来 了,21,adult,躲, 了
然后 把 盒子 关 起来,26,adult,关,NA
你 把 盒子 关 起来,26,adult,关,NA
捡 起来,25,adult,捡,NA
还 捡 得 起来,26,adult,得,NA
把 纸 捡 起来,25,adult,捡,NA
站 起来,32,child,站,NA
先 把 这 个 收 起来,25,adult,收,NA
你 扶 他 起来,26,adult,他,NA
把 它 捡 起来,20,adult,捡,NA
捡 起来 呀,20,adult,捡, 呀
接 起来,26,adult,接,NA
帮 妈妈 把 这 个 放 进 去 收 起来 好不好,26,adult,收, 好不好
你 还 能 接 起来 啊,26,adult,接, 啊
文文 先 把 下面 搭 起来,32,adult,搭,NA
才 玩 又 放 起来 了,26,adult,放, 了
把 积木 都 收 起来,32,adult,收,NA
你 收 起来 妈妈 再 帮 你 收,32,adult,收, 妈妈 再 帮 你 收
放 起来,32,adult,放,NA
关 起来 了,32,adult,关, 了
那 把 它 收 起来,32,adult,收,NA
把 玩具 收 起来,32,adult,收,NA
小 孔雀 开 起来,26,adult,开,NA
把 笔 收 起来,25,adult,收,NA
把 它 收 起来 啦,32,adult,收, 啦
把 它 收 起来 啊,20,adult,收, 啊
先 把 蜡笔 上 起来 吧,32,adult,上, 吧
把 那边 一 个 小 积木 捡 起来,32,adult,捡,NA
你 喊 它 起来 吃 饭 吧,25,adult,它, 吃 饭 吧
把 积木 收 起来,32,adult,收,NA
给 妈妈 再 收 起来,20,adult,收,NA
早上 起来 洗洗 脸 好 不 好,25,adult,上, 洗洗 脸 好 不 好
那 你 自己 套 起来,20,adult,套,NA
把 积木 收 起来 吧,32,adult,收, 吧
那 你 把 这 支 笔 收 起来,20,adult,收,NA
站 起来,20,adult,站,NA
搭 不 起来 呀,32,adult,搭, 呀
还 可以 飞 起来,32,child,飞,NA
其实 把 球 提 起来 再 拍,20,adult,提, 再 拍
你 去 把 球 提 起来,20,adult,提,NA
你 要 把 它 拾 起来,25,adult,拾,NA
站 起来,32,adult,站,NA
拿 起来,21,adult,拿,NA
那 我们 把 这 个 收 起来 好吗,21,adult,收, 好吗
把 它 盖 起来,25,adult,盖,NA
你 看 游 了 起来,21,adult,游,NA
把 它 关 起来,21,adult,关,NA
把 你 这 个 笔 收 起来 你 再 去 拿,20,adult,收, 你 再 去 拿
那 你 要 把 它 收 起来,32,adult,收,NA
xxx 把 这 个 收 起来,32,adult,收,NA
把 笔 收 起来 再 搭 积木,32,adult,收, 再 搭 积木
站 起来 教 狗 能够 跳 舞 吧,32,adult,站, 教 狗 能够 跳 舞 吧
起来 起来,20,adult,来, 起来
盖 起来 啊,25,adult,盖, 啊
把 套子 套 起来,26,adult,套,NA
你 站 起来 跳 呀,32,adult,站, 跳 呀
把 笔 收 起来 再 玩 好不好,26,adult,收, 再 玩 好不好
我们 把 这 个 玩具 拿 起来 看看,26,adult,拿, 看看
把 皮球 装 起来 了 好 不 好,25,adult,装, 了 好 不 好
我 把 皮球 装 起来,25,adult,装,NA
搭 不 起来,32,child,搭,NA
搭 不 起来 这 个 高 的,32,adult,搭, 这 个 高 的
来 我们 收 起来 吧,32,adult,收, 我们 收 起来 吧
狗熊 让 狗熊 坐 起来 吧,32,adult,坐, 吧
先 把 这 个 收 起来,32,adult,收,NA
咱们 那 个 把 它 配 起来 好不好,25,adult,配, 好不好
哟 这 个 笔 怎么 也 不 收 起来 呀,25,adult,收, 呀
我 收 起来,25,child,收,NA
把 笔 套 起来,26,adult,套,NA
玩 好嘞 玩具 要 收 起来,32,adult,收,NA
把 它 套 起来,25,adult,套,NA
收 起来,32,adult,收,NA
那 你 把 它 搭 起来,26,adult,搭,NA
这 个 就 把 它 放 起来,25,adult,放,NA
把 这 收 起来,32,adult,收,NA
快 拿 起来,32,adult,拿,NA
把 这 个 放 起来 吧,32,adult,放, 吧
小 白 免 起来 了,26,child,免, 了
站 起来,20,adult,站,NA
盖 起来,25,adult,盖,NA
那 你 把 这些 收 起来 吧,32,adult,收, 吧
我们 一起 来 打 起来,32,adult,打, 打 起来
玩 不 起来 了,25,adult,玩, 了
你 会 不 会 把 它 关 起来,32,adult,关,NA
你 把 那 支 黄 的 捡 起来 吧,25,adult,捡, 吧
妈妈 把 它 放 进 去 再 放 那 个 关 起来 啊,21,adult,关, 啊
把 它 装 起来 好不好,25,adult,装, 好不好
你 先 把 东西 收 起来,25,adult,收,NA
把 笔 装 起来,25,adult,装,NA
躲 起来 了,26,child,躲, 了
放 起来 吧,32,adult,放, 吧
妈妈 我 起来,32,child,我,NA
它 和 我们 家 的 狗 宝宝 比 起来 谁 大 呀,25,adult,比, 谁 大 呀
妈妈 收 起来 了,25,adult,收, 了
先 把 这些 收 起来 好不好,25,adult,收, 好不好
装 起来,25,adult,装,NA
好 装 起来,25,adult,装,NA
我们 把 纸 收 起来,25,adult,收,NA
盖 起来,32,adult,盖,NA
关 起来,32,adult,关,NA
有 纸 帮 妈妈 捡 起来,25,adult,捡,NA
装 起来,25,adult,装,NA
放 这 里面 收 起来,25,adult,收,NA
哎 那 个 现在 玩 不 起来,25,adult,玩,NA
捡 起来,20,adult,捡,NA
怎么 样 把 球 打 起来,25,adult,打,NA
去 捡 起来,25,adult,捡,NA
布娃娃 玩具 都 收 起来 了,26,child,收, 了
那 我们 收 起来 了,25,adult,收, 了
收 起来 了,25,adult,收, 了
一 个 一 个 套 起来 好不好,25,adult,套, 好不好
给 你 收 起来,25,adult,收,NA
你 拿 根 绳子 把 它 串 起来 好不好,25,adult,串, 好不好
装 起来 吧,25,adult,装, 吧
你 把 这 个 装 起来,25,adult,装,NA
盖 起来,25,adult,盖,NA
哎 捡 起来 吧,25,adult,捡, 吧
猜猜 看 妈妈 藏 起来 那 个 颜色 是 什么 颜色 呀,26,adult,藏, 那 个 颜色 是 什么 颜色 呀
藏 起来 的 是 绿 颜色,26,adult,藏, 的 是 绿 颜色
妈妈 藏 起来 的 是 哪 个 颜色 呀,26,adult,藏, 的 是 哪 个 颜色 呀
妈妈 藏 起来 的 是 什么 颜色 呀,26,adult,藏, 的 是 什么 颜色 呀
都 藏 起来,26,child,藏,NA
噢 都 藏 起来,26,adult,藏,NA
好 的 竖 起来,26,adult,竖,NA
老鼠 的 名字 妈妈 没 想 起来,26,adult,想,NA
然後 開始 用 他 那 根 細細 亮亮 的 線 織網 起來 了,29,adult,NA,NA
真的 耶 而 他 真的 是 今天 五點 多 起來 理論上 現在 應該 是 會 想 睡覺,18,adult,NA,NA
收 起來 好 不 好 我們 看 阿丁 好 不 好,22,adult,NA,NA
唉呀 屁股 痛 起來,22,adult,NA,NA
哇 跑 掉 了 去 撿 回來 撿 起來 啊 那邊 嘉嘉 去 撿 看到 沒有,22,adult,NA,NA
真的 我 那時 覺得 他 兩 站 起來 差不多 高 嘉嘉 來,18,adult,NA,NA
他 看 我們 也 要 這樣 做 嘉嘉 站 起來,18,adult,NA,NA
你 要 站 起來 喝,22,adult,NA,NA
站 起來,22,child,NA,NA
不 看 收 起來 好 不 好 byebye nono,22,adult,NA,NA
站 起來 裙子 不 方便,18,adult,NA,NA
那 個 喔 好 站 起來 換 你,18,adult,NA,NA
餅乾 掉 了 餅乾 掉 了 掉 了 喔 撿 起來,18,adult,NA,NA
這 要 不 要 收 起來 馬上 要 吃飯 了 等一下 不 吃飯 了,18,adult,NA,NA
來 站 起來 嘉嘉,18,adult,NA,NA
趕快 照 起來,18,adult,NA,NA
嘉嘉 舉 起來 放 這裡 對 這樣子 舉 高高 的,18,adult,NA,NA
那 你 帮 阿姨 把 它 收 起来 好不好,47,adult,收, 好不好
这 个 拼 起来,36,adult,拼,NA
你 先 把 这 个 拼 起来 好 不 好 啊,36,adult,拼, 好 不 好 啊
把 这 个 盖子 盖 起来 给 小 熊 吃 饭,36,adult,盖, 给 小 熊 吃 饭
这 拼 起来,36,adult,拼,NA
才能 拼 的 起来,36,child,的,NA
奥 才能 拼 的 起来 对吗,36,adult,的, 对吗
你 要 拿 这 个 东西 才能 拼 的 起来,36,child,的,NA
玩 过 了 以后 要 收 起来,36,adult,收,NA
玩 过 后 要 把 它 收 起来,36,adult,收,NA
我 拍 你 能 不 能 数 得 起来,36,adult,得,NA
你 站 起来 拍,36,adult,站, 拍
盖子 盖 起来,36,adult,盖,NA
快 把 它 捡 起来,36,child,捡,NA
你 先 把 这 拼 起来 好 不 好 啊,36,adult,拼, 好 不 好 啊
我 想 不 起来 了,36,child,想, 了
你 看 这 个 小 兵 站 起来 了,36,adult,站, 了
把 四 个 四 个 拼 起来 就是 一 圆 的,36,adult,拼, 就是 一 圆 的
起来 吧 坐 在 椅子 上,36,adult,NA, 吧 坐 在 椅子 上
竖 起来 的 吧,36,adult,竖, 的 吧
是 不是 要 竖 起来 的,36,adult,竖, 的
站 不 起来,36,child,站,NA
这 个 你 把 它 搭 站 起来,35,adult,站,NA
搭 站 起来,35,adult,站,NA
搭 站 起来 可以 漂亮 一点,35,adult,站, 可以 漂亮 一点
嗯 要 把 它 夹 起来 吃,36,child,夹, 吃
哦 要 把 它 夹 起来 吃 啊,36,adult,夹, 吃 啊
我们 把 这 个 收 起来,36,adult,收,NA
好 夹 起来 给 我,36,adult,夹, 给 我
要 收 起来,36,child,收,NA
把 盖子 盖 起来,36,adult,盖,NA
要 收 起来 还原 对啊,36,adult,收, 还原 对啊
收 起来 好吧,35,adult,收, 好吧
我们 把 它 收 起来,35,adult,收,NA
把 它 收 起来 好 不 好,36,adult,收, 好 不 好
把 盖子 盖 起来,35,adult,盖,NA
插 起来,36,adult,插,NA
好 了 把 玩具 收 起来,36,adult,收,NA
拍 不 起来,36,child,拍,NA
妈妈 插 起来,36,adult,插,NA
拍 不 起来 怎么办,36,adult,拍, 怎么办
我 怎么 看 起来 感觉 有点 像 五 哎,36,adult,看, 感觉 有点 像 五 哎
捡 起来,36,adult,捡,NA
站 起来,36,adult,站,NA
抛 起来,36,adult,抛,NA
捡 起来,36,adult,捡,NA
好 盖 起来,36,adult,盖,NA
拍 不 起来 吗,35,adult,拍, 吗
快 捡 起来,36,adult,捡,NA
那 我 加 一 个 把 它 搭 起来,36,adult,搭,NA
把 它 收 起来,35,adult,收,NA
弯 起来,36,adult,弯,NA
先 把 这 个 收 起来,36,adult,收,NA
玩 好 以后 要 把 积木 收 起来,36,adult,收,NA
先 把 这 个 收 起来 然后 才 可以 玩 下 一 个 积木,36,adult,收, 然后 才 可以 玩 下 一 个 积木
照 着 图 把 它 拼 起来,36,adult,拼,NA
这样 走 不 起来 了 哎,36,adult,走, 了 哎
让 它 站 起来 走路 好 不 好,36,adult,站, 走路 好 不 好
这 个 卷 起来 了,36,child,卷, 了
把 它 盖 起来,36,adult,盖,NA
脚 抬 起来,36,adult,抬,NA
把 盒子 盖 起来 盖 好,36,adult,盖, 盖 好
起来,36,adult,NA,NA
毛毛 把 这 个 要 收 起来,36,adult,收,NA
然后 把 这 个 关 起来,36,adult,关,NA
收 起来,36,adult,收,NA
把 这 个 盒子 关 起来,36,adult,关,NA
一定 要 把 这 个 恐龙 搭 起来,36,adult,搭,NA
把 它 扣 起来 啊,36,adult,扣, 啊
想 不 起来 了,36,adult,想, 了
你 把 它 收 起来,36,adult,收,NA
戴 不 起来 呀,36,child,戴, 呀
把 它 收 起来 收 起来,36,adult,收, 收 起来
收 起来,36,adult,收,NA
这 个 这 个 应该 竖 起来 吧,42,adult,竖, 吧
可以 把 它 拼 起来 扔 是吧,36,adult,拼, 扔 是吧
你 给 它 装 起来,36,adult,装,NA
这样 盖 起来 啊,36,adult,盖, 啊
这样 闭 起来,36,child,闭,NA
藏 起来 的,36,adult,藏, 的
是 藏 起来 的 吗,36,adult,藏, 的 吗
来 站 起来,36,adult,站, 站 起来
先 让 他 坐 好 再 让 他 站 起来,36,adult,站,NA
把 它 盖 起来 啦,42,adult,盖, 啦
把 这 个 放 起来,36,adult,放,NA
我们 把 它 涂 起来,36,adult,涂,NA
我们 把 这 个 收 起来 吧,36,adult,收, 吧
收 起来,36,child,收,NA
那 你 把 它 收 起来,42,adult,收,NA
自己 把 它 收 起来,42,adult,收,NA
哦 拣 起来,36,adult,拣,NA
我 把 这 个 机器人 收 起来 了 啊,36,adult,收, 了 啊
你 帮 我 装 起来 好 不 好,36,adult,装, 好 不 好
戴 不 起来 呀,36,child,戴, 呀
然后 把 盒子 盖 起来,36,adult,盖,NA
关 起来,36,child,关,NA
要 玩 这 个 那 你 先 把 这 个 收 起来,42,adult,收,NA
全 搭 起来 了,36,adult,搭, 了
拣 起来,42,adult,拣,NA
要 跟 头 连 起来,36,adult,连,NA
好 把 它 连 起来,36,adult,连,NA
收 起来,36,adult,收,NA
站 不 起来 了,42,child,站, 了
噢 站 不 起来 了,42,adult,站, 了
站 不 起来 你 自己 想 办法,42,adult,站, 你 自己 想 办法
收 起来,36,adult,收,NA
拣 起来,42,adult,拣,NA
叠 起来,42,child,叠,NA
老 蚯蚓 若有所思 把 他 种 起来 说不定 还 能 结 出 什么 美味 的 果子 来 呢,42,adult,种, 说不定 还 能 结 出 什么 美味 的 果子 来 呢
不 玩 把 它 收 起来,36,adult,收,NA
你 要 把 这 个 竖 起来,36,adult,竖,NA
把 盒子 收 起来 吧,42,adult,收, 吧
把 它 拣 起来,42,adult,拣,NA
把 它 收 起来 去 玩 那个,42,adult,收, 去 玩 那个
快 收 起来,36,adult,收,NA
来 摆 起来,36,adult,摆, 摆 起来
把 这 个 接 起来,42,adult,接,NA
你 把 这 个 收 起来,36,adult,收,NA
站 起来 才能 拿 到,36,adult,站, 才能 拿 到
好 把 你 这 个 东西 收 起来,36,adult,收,NA
来 这 个 给 你 贴 起来 好 不 好,36,adult,贴, 这 个 给 你 贴 起来 好 不 好
应该 把 这 个 再 画 起来,36,adult,画,NA
下 玩 我们 就 收 起来 收到 盒子 里面,36,adult,收, 收到 盒子 里面
这 个 再 画 起来,36,adult,画,NA
收 起来 啊,36,adult,收, 啊
啊 赶快 收 起来,42,adult,收,NA
哦 竖 起来 对吧,36,adult,竖, 对吧
它 的 爸爸 妈妈 一 走 这 四 只 皮皮鼠 就 跳 起来 吃 糖,36,adult,跳, 吃 糖
我们 把 它 放 起来,36,adult,放,NA
把 这 个 收 起来 好 不 好,36,adult,收, 好 不 好
玩具 要 把 它 收 起来,36,adult,收,NA
妈妈 给 你 装 起来,42,adult,装,NA
你 把 它 架 起来 好 不 好,36,adult,架, 好 不 好
把 它 盖 起来 啦,42,adult,盖, 啦
你 把 它 头 架 起来 好 不 好,36,adult,架, 好 不 好
装 起来 哦,36,adult,装, 哦
把 积木 收 起来,42,adult,收,NA
自己 把 它 加 起来,42,adult,加,NA
站 不 起来 啊,42,adult,站, 啊
站 不 起来,42,adult,站,NA
这 个 画 不 起来,42,adult,画,NA
起来 起来,42,adult,来, 起来
它 有 点 涂 不 起来 了,42,child,涂, 了
这 个 全部 把 它 拼 起来 啊,42,adult,拼, 啊
盖 起来,36,adult,盖,NA
盖子 把 它 盖 起来,36,adult,盖,NA
脚 应 不 应该 直 起来,42,adult,直,NA
盖 起来,36,adult,盖,NA
这 个 把 它 收 起来 放 到 盒子 里面,36,adult,收, 放 到 盒子 里面
它 站 不 起来,42,adult,站,NA
放 起来,36,adult,放,NA
先 把 这些 收 起来 啊,42,adult,收, 啊
我们 一 起来 做 早 操 好吧,36,adult,一, 做 早 操 好吧
头 抬 起来,42,adult,抬,NA
好 放 到 盒子 里面 把 它 盖子 盖 起来,36,adult,盖,NA
看看 头 能 不 能 抬 起来,42,adult,抬,NA
这 不 摆 起来 了 吗,42,adult,摆, 了 吗
那 你 先 把 纸 还有 画笔 收 起来,42,adult,收,NA
把 盖子 盖 起来,42,adult,盖,NA
先 把 笔 收 起来,42,adult,收,NA
先 把 笔 收 起来 好 不 好,42,adult,收, 好 不 好
你 快 去 捡 起来,42,adult,捡,NA
把 这 个 合 起来,42,adult,合,NA
看 着 把 这 个 叠 起来,42,adult,叠,NA
这样子 涂 把 它 全部 抹 起来,42,child,抹,NA
叠 起来,42,adult,叠,NA
关 不 起来 啦,42,adult,关, 啦
把 它 盖 起来,36,child,盖,NA
把 小 三角 搭 起来,42,adult,搭,NA
自己 收 起来,42,adult,收,NA
收 起来 啊,42,adult,收, 啊
收 起来 不 看 了 是 不是 啊,42,adult,收, 不 看 了 是 不是 啊
在 柜子 上面 四 只 皮皮鼠 又 跳 起来 了,42,adult,跳, 了
那 你 收 起来,42,adult,收,NA
这 盖 不 起来 的,42,adult,盖, 的
这样 摆 不 起来,42,adult,摆,NA
你 每天 起来 还 刷 牙 啊,36,adult,天, 还 刷 牙 啊
盖 起来,42,adult,盖,NA
合 起来,42,adult,合,NA
能 不 能 合 起来,42,adult,合,NA
收 起来 哦,36,adult,收, 哦
收 起来 吧,42,adult,收, 吧
把 盖子 盖 起来,42,adult,盖,NA
它们 没 睡 着 它们 就 爬 起来 了,36,adult,爬, 了
哎 跳 起来,42,adult,跳,NA
把 它 竖 起来 是 这样 的 吗,42,adult,竖, 是 这样 的 吗
妈妈 起来 拿,42,adult,妈, 拿
跳 起来 了,36,adult,跳, 了
这 个 也 跳 起来 了,36,adult,跳, 了
好 把 它 收 起来,42,adult,收,NA
晚上 起来 偷偷地 偷 什么,36,adult,上, 偷偷地 偷 什么
收 起来 了 噢,42,adult,收, 了 噢
这 个 蹦 起来 了,36,adult,蹦, 了
床 上 蹦 起来 了,36,adult,蹦, 了
拣 起来,42,adult,拣,NA
捡 起来,42,adult,捡,NA
把 它 盖 起来,42,adult,盖,NA
站 起来,42,adult,站,NA
把 它 拧 起来,42,adult,拧,NA
嗳 把 它 拧 起来,42,adult,拧,NA
嘴巴 封 起来 了 吗,42,adult,封, 了 吗
是 他们 一 吃 这 个 糖 就 在 床 上 砰 砰 地 跳 起来,42,adult,跳,NA
拼 起来 了 没 有,42,adult,拼, 了 没 有
拼 起来 了 没 有,42,adult,拼, 了 没 有
快 把 画 收 起来,42,adult,收,NA
腾 得 一 下 就 起来 了 是 不是,42,adult,就, 了 是 不是
竖 起来 摆,42,adult,竖, 摆
把 帽子 盖 起来,42,adult,盖,NA
捡 起来,42,adult,捡,NA
我 来 装 起来,42,adult,装, 装 起来
装 起来 吧,42,adult,装, 吧
一 拉 起来,42,adult,拉,NA
看 起来 是,48,adult,看, 是
盖 起来,42,adult,盖,NA
那 把 这 个 收 起来,42,adult,收,NA
我 要 用 它 把 球 拼 起来,48,adult,拼,NA
让 它 站 起来,42,child,站,NA
把 盖子 盖 起来,42,adult,盖,NA
搭 不 起来,48,child,搭,NA
怎么 想 起来 就 说,42,adult,想, 就 说
开开心心 的 吃 起来 了,42,adult,吃, 了
是 你 自己 想 起来 的 吧,48,adult,想, 的 吧
